Horizon (ore),Total PL (€),Avg PL (€),Win Rate (%),Trades
1,21596.632401002047,41.452269483689165,43.37811900191939,521
2,27578.591920554038,52.93395762102497,42.80230326295585,521
3,30535.07125718167,58.60858206752715,40.69097888675624,521
4,33045.40670019225,63.426884261405505,39.731285988483684,521
5,35012.74413095148,67.20296378301629,38.963531669865645,521
6,36846.15151553508,70.7219798762669,36.660268714011515,521
7,38330.575140066016,73.57116149724762,34.93282149712092,521
8,37875.2279582676,72.6971745840069,34.16506717850288,521
9,38517.01811740386,73.92901749981546,33.589251439539346,521
10,38598.6380412952,74.08567762244758,33.589251439539346,521
11,39199.18969206303,75.23836793102306,33.20537428023032,521
12,40386.94104649191,77.51812101054105,31.861804222648754,521
13,39636.98935446406,76.07867438476784,31.477927063339735,521
14,39402.506936966114,75.62861216308272,30.710172744721685,521
15,40107.75689999372,76.98225892513187,30.902111324376197,521
16,40676.741856443,78.07436056898844,30.518234165067177,521
17,42335.78376494567,81.25870204404161,30.710172744721685,521
18,43330.15942565456,83.16729256363635,30.710172744721685,521
19,44853.71794832472,86.09158915225471,30.518234165067177,521
20,44307.54302944684,85.04326877053133,29.750479846449135,521
