Horizon (ore),Total PL (€),Avg PL (€),Win Rate (%),Trades
1,6245.010802356578,11.98658503331399,50.8637236084453,521
2,7371.805335908715,14.149338456638603,54.510556621881,521
3,5833.094554428516,11.195958837674695,52.39923224568138,521
4,5727.732492386546,10.993728392296635,51.439539347408825,521
5,7219.328297703346,13.856676195207967,53.93474088291747,521
6,8667.887005971197,16.637019205319014,53.35892514395394,521
7,7092.505310562804,13.613253955014969,51.439539347408825,521
8,6382.8642556326495,12.251178993536763,51.24760076775432,521
9,9476.36963671855,18.18880928352889,51.24760076775432,521
10,9168.620576319448,17.59812010809875,51.82341650671785,521
11,11132.240540546725,21.367064377248987,53.16698656429942,521
12,11733.258604636942,22.520649912930804,52.5911708253359,521
13,11970.855348327546,22.976689728075904,52.783109404990405,521
14,13553.65608691191,26.014694984475835,51.82341650671785,521
15,15330.024556163966,29.424231393788798,53.16698656429942,521
16,16916.523695346357,32.46933530776653,53.74280230326296,521
17,16595.636238259558,31.85342848034464,53.74280230326296,521
18,16563.805662509527,31.79233332535418,52.783109404990405,521
19,16272.153030990743,31.23253940689203,53.35892514395394,521
20,16633.591426120085,31.92627912882936,53.35892514395394,521
