Ticket,Symbol,Type,Open time,Open price,Size,Close time,Close price,Time in trade,Profit/Loss (Global),Balance (Global),Profit/Loss (Pips),Strategy name (Global)
2,GOLD.pro,Buy,02.01.2020 14:21:05,1525.32,0.4,02.01.2020 15:59:11,1526.09,1h 38m,27.56,27.56,7700,gold sf
2,USDJPY.pro,Buy,02.01.2020 06:06:03,108.757,0.8,02.01.2020 16:13:02,108.62,10h 6m,-90.28,-62.72,-13.7,usdjpy pf
2,US100.pro,Buy,02.01.2020 10:02:15,8809.2,0.36,02.01.2020 16:15:12,8818.8,6h 12m,61.84,-0.88,96000,nas100 sf
2,USDJPY.pro,Sell,02.01.2020 16:30:00,108.392,0.67,02.01.2020 17:44:41,108.386,1h 14m,3.32,2.44,0.6,usdjpy cf
2,US500.pro,Buy,02.01.2020 14:35:01,3250.9,0.23,03.01.2020 03:13:40,3250.9,12h 38m,0,2.44,0,us500 vf
2,US100.pro,Buy,02.01.2020 19:00:01,8845,0.12,03.01.2020 08:48:54,8795.3,13h 48m,-106.93,-104.49,-497000,nas100 cf
2,GOLD.pro,Buy,02.01.2020 12:00:52,1521.53,0.328,03.01.2020 18:00:53,1548.22,1d 6h 0m,783.48,678.99,266900,gold fv
4,USDJPY.pro,Sell,03.01.2020 08:54:00,107.932,0.29,03.01.2020 21:00:00,108.017,12h 6m,-20.44,658.55,-8.5,usdjpy pf
4,US100.pro,Sell,06.01.2020 10:00:00,8728.3,0.18,06.01.2020 13:36:13,8761.5,3h 36m,-106.75,551.8,-332000,nas100 cf
4,USDJPY.pro,Sell,05.01.2020 23:15:03,107.91,0.51,06.01.2020 16:43:38,108.265,17h 28m,-149.5,402.3,-35.5,usdjpy cf
6,USDJPY.pro,Buy,06.01.2020 08:30:00,108.121,0.4,06.01.2020 21:00:00,108.453,12h 30m,109.41,511.71,33.2,usdjpy pf
8,USDJPY.pro,Sell,07.01.2020 07:06:00,108.4,0.83,07.01.2020 16:30:16,108.53,9h 24m,-89.25,422.46,-13,usdjpy pf
6,USDJPY.pro,Buy,06.01.2020 16:45:00,108.316,0.63,08.01.2020 00:30:01,108.094,1d 7h 45m,-107.62,314.84,-22.2,usdjpy cf
8,USDJPY.pro,Sell,08.01.2020 00:30:01,108.094,0.52,08.01.2020 00:56:13,108.062,26m 12s,13.81,328.65,3.2,usdjpy cf
